State,StateAbbr,Name,Party,Inauguration,Title,office,officialTwitter,campaignTwitter,othertwitter
Hawaii,HI,Josh Green,Democratic,2018-12-03,Lt. Governor,LtGov,LtGovJoshGreen,NA,NA
Hawaii,HI,Holly ShikadaActing,Democratic,2021-12-10,Attorney General,StateAG,AtghIgov,NA,NA
Hawaii,HI,Craig Hirai,Democratic,2019-12-16,Director of Finance,Treasurer,NA,NA,NA
Idaho,ID,Brad Little,Republican,2019-01-07,Governor,Governor,GovernorLittle,NA,NA
Idaho,ID,Janice McGeachin,Republican,2019-01-07,Lt. Governor,LtGov,JaniceMcGeachin,NA,NA
Idaho,ID,Lawerence Denney,Republican,2015-01-05,Secretary of State,SecState,IDSecOfState,NA,NA
Idaho,ID,Lawrence Wasden,Republican,2003-01-06,Attorney General,StateAG,NA,lawrencewasden,NA
Idaho,ID,Julie Ellsworth,Republican,2019-01-06,Treasurer,Treasurer,IdahoTreasurer,NA,NA
Illinois,IL,J. B. Pritzker,Democratic,2019-01-14,Governor,Governor,GovPritzker,JBPritzker,NA
Illinois,IL,Juliana Stratton,Democratic,2019-01-14,Lt. Governor,LtGov,LtGovStratton,JulianaforLG,NA
Illinois,IL,Jesse White,Democratic,1999-01-11,Secretary of State,SecState,ILSecOfState,NA,NA
Illinois,IL,Kwame Raoul,Democratic,2019-01-14,Attorney General,StateAG,ILAttyGeneral,KwameRaoul,NA
Illinois,IL,Mike Frerichs,Democratic,2015-01-12,Treasurer,Treasurer,ILTreasurer,MikeForIllinois,NA
Indiana,IN,Eric Holcomb,Republican,2017-01-09,Governor,Governor,GovHolcomb,HolcombForIN,NA
Indiana,IN,Suzanne Crouch,Republican,2017-01-09,Lt. Governor,LtGov,LGSuzanneCrouch,Suzanne_Crouch,NA
Indiana,IN,Holli Sullivan,Republican,2021-03-16,Secretary of State,SecState,OfficialSOSIN,HolliASullivan,NA
Indiana,IN,Todd Rokita,Republican,2021-01-11,Attorney General,StateAG,AGToddRokita,ToddRokitaIN,NA
Indiana,IN,Kelly Mitchell,Republican,2015-01-07,Treasurer,Treasurer,TOS_Mitchell,NA,NA
Iowa,IA,Kim Reynolds,Republican,2017-05-24,Governor,Governor,IAGovernor,KimReynoldsIA,NA
Iowa,IA,Adam Gregg,Republican,2019-01-18,Lt. Governor,LtGov,IALtGov,AdamGreggIA,NA
Iowa,IA,Paul Pate,Republican,2015-01-01,Secretary of State,SecState,IowaSOS,PateforIowa,NA
Iowa,IA,Tom Miller,Democratic,1995-01-06,Attorney General,StateAG,AGIowa,Miller4IA,NA
Iowa,IA,Michael Fitzgerald,Democratic,1983-01-04,Treasurer,Treasurer,NA,Fitzgerald4Iowa,NA
Kansas,KS,Laura Kelly,Democratic,2019-01-14,Governor,Governor,GovLauraKelly,LauraKellyKS,NA
Kansas,KS,David Toland,Democratic,2021-01-02,Lt. Governor,LtGov,LtGovToland,NA,NA
Kansas,KS,Scott Schwab,Republican,2019-01-14,Secretary of State,SecState,KansasSOS,ScottSchwabKS,NA
Kansas,KS,Derek Schmidt,Republican,2011-01-10,Attorney General,StateAG,KSAGOffice,DerekSchmidtKS,NA
Kansas,KS,Lynn Rogers,Democratic,2021-01-02,Treasurer,Treasurer,NA,LynnRogers4KS,NA
Kentucky,KY,Andy Beshear,Democratic,2019-12-10,Governor,Governor,GovAndyBeshear,AndyBeshearKY,NA
